Aablyseius hibisci,Amblyseius hibisci
Linaria pitosa,Linaria pilosa
Linaria pumilla,Linaria pusilla
Linaria rubiifolia,Linaria rubrifolia
Linaria vulsaris,Linaria vulgaris
Lindbladla effusa,Lindbladia effusa
Lindera serica,Lindera sericea
Lindernia radicans,Lindenia radicans
Lindeuius albilabris,Lindenius albilabris
Lindneria ftbrillosa,Lindneria fibrillosa
Lindssea caudata,Lindsaea caudata
Lindstea trapeziformis,Lindsaea trapeziformis
Lineola obtuso�caudata,Lineola obtuso-caudata
Linfconia thymifolia,Linconia thymifolia
Ling-ula anatina,Lingula anatina
Lingua cuneata,Lingula cuneata
Lingula ajqualis,Lingula aequalis
Lingula donaciformis,Ligula donaciformis
Linnaes borealis,Linnaea borealis
Linnuea borealis,Linnaea borealis
Linognalhus cervicaprae,Linognathus cervicaprae
Linum grandifloium rubrum,Linum grandiflorum var. rubrum
Linums perenne,Linum perenne
Linyphia lenella,Linyphia tenella
Lin�heimera texana,Lindheimera texana
Liocurtusa minuta,Liocyrtusa minuta
Liometopum occidentalis,Liometopum occidentale
Liophis iacgeri,Liophis jaegeri
Liospiriferina aeauiglobata,Liospiriferina aequiglobata
Liozogramma amelia,Lozogramma amelia
Liparis biloburlata,Liparis bilobulata
Liparnphyllum gunnii,Liparophyllum gunnii
Liparthrum colohicum,Liparthrum colchicum
Lipcnyssus silviarum,Liponyssus silviarum
Lipocarhha chinensis,Lipocarpha chinensis
Lipocarpba argentea,Lipocarpha argentea
Lipopfycha aeratana,Lipoptycha aeratana
Liquidamhar integrifolium,Liquidambar integrifolium
Liqustrum lucidum,Ligustrum lucidum
Lirnophila gratioloides,Limnophila gratioloides
Lisianthiis cuspidatus,Lisianthius cuspidatus
Lisianthus cordifollus,Lisianthus cordifolius
Lispa quadrilineata,Lispe quadrilineata
Lissa tridactyla,Rissa tridactyla
Lissanlhe strigosa,Lissanthe strigosa
Lissocephala unipunctum,Lissocephala unipuncta
Lissochilns speciosus,Lissochilus speciosus
Lissochilos speciosus,Lissochilus speciosus
Lissonota punctivcntris,Lissonota punctiventris
Lissotriton punclatus,Lissotriton punctatus
Listera austral,Listera australis
Listronotus insequalipennis,Listronotus inaequalipennis
Lis�era ovata,Listera ovata
Lita tobacella,Lita tabacella
Litbocharodes fuscipennis,Lithocharodes fuscipennis
Litcht chinensis,Litchi chinensis
Litfea zeylanica,Litsea zeylanica
Lithacoceras postrueppelianum,Lithacoceras postrueppellianum
Litharcea vaughani,Litharoea vaughani
Litharma pulvinata,Litharea pulvinata
Lithasleriscus radiatus,Lithasteriscus radiatus
Lithobiua forficatus,Lithobius forficatus
Lithobiub howei,Lithobius howei
Lithocaris aveyronensis,Lithocharis aveyronensis
Lithocarpus litseifolia,Lithocarpus litseifolius
Lithocarpus turbinata,Lithocarpus turbinatus
Lithocelletis nigrescentella,Lithocolletis nigrescentella
Lithocharis curla,Lithocharis curta
Lithocolletis platanis,Lithocolletis platani
Lithocolletis quinqnenotella,Lithocolletis quinquenotella
Lithocystis schncideri,Lithocystis schneideri
Lithodes mam,Lithodes maja
Lithodes maza,Lithodes maja
Lithospcrmum ruderale,Lithospermum ruderale
Lithyphantes grossa,Lithyphantes grossus
Litkosia remelana,Lithosia remelana
Litlorina ziczac,Littorina ziczac
Litorina zigzag,Littorina zigzag
Litsaea timoriana,Litsea timoriana
Litseea semecarpifolia,Litsea semecarpifolia
Littorina saxitile,Littorina saxatile
Littorina trrorata,Littorina irrorata
Littorina viva,Littorina vidua
Liuorina mauritiana,Litorina mauritiana
Livistonia umbraculifera,Livistona umbraculifera
Livi�stona australis,Livistona australis
Livoneca desmaresti,Livoneca desmarestii
Lixtorella lacustris,Littorella lacustris
Lixus acupiclus,Lixus acupictus
Lixus octolinealus,Lixus octolineatus
Lizzia hlondina,Lizzia blondina
Ljcoperdon radiatum,Lycoperdon radiatum
Ljmax cellarius,Limax cellarius
Llgustrum pubinerve,Ligustrum pubinerve
Llmonia trifoliata,Limonia trifoliata
Llndsaya tenera,Lindsaya tenera
Llthosia innotata,Lithosia innotata
Lncanus pilmus,Lucanus pilmus
Lncina disciformis,Lucina disciformis
Lncina divaricata,Lucina divaricata
Lngalia maculata,Ungalia maculata
Lnmbricillus lineatus,Lumbricillus lineatus
Lnntana horrida,Lantana horrida
Lnvatera maritima,Lavatera maritima
Lobarina pulmonacea,Lobaria pulmonacea
Lobelia bridgesi,Lobelia bridgesii
Lobopariusi vitalisi,Loboparius vitalisi
Lobopnda insularis,Lobopoda insularis
Lobularia capilata,Lobularia capitata
Locconema cistula,Cocconema cistula
Lochmfea caprea,Lochmaea caprea
Lochmueotrochus oculeus,Lochmaeotrochus oculeus
Locusta verrucioora,Locusta verrucivora
Lodum latifolium,Ledum latifolium
Logania latlfolia,Logania latifolia
Logania maemorata,Logania marmorata
Lohivanellus senegalus,Lobivanellus senegalus
Lohothorax rufescens,Lobothorax rufescens
Loimocharis fenestrina,Loemocharis fenestrina
Loli-um perenne,Lolium perenne
Lolium arrense,Lolium arvense
Lolium temuìentum,Lolium temulentum
Loliüm arvense,Lolium arvense
Lollium perenne,Lolium perenne
Lomechusa strum�osa,Lomechusa strumosa
Lomechusa strwmosa,Lomechusa strumosa
Lomentarin impudica,Lomentaria impudica
Lom�aria discolor bipinnatifida,Lomaria discolor var. bipinnatifida
Lonchaa viridana,Lonchaea viridana
Lonchdea lasiophthalma,Lonchaea lasiophthalma
Lonchocarpua lanceolatus,Lonchocarpus lanceolatus
Lonchocarpus obovatum,Lonchocarpus obovatus
Lonchoea plumata,Lonchaea plumata
Lonchophylta concava,Lonchophylla concava
Lonchoptera paluslris,Lonchoptera palustris
Lonchura punctuiata cabanisi,Lonchura punctulata cabanisi
Lonicara xylosteum,Lonicera xylosteum
Loniccra symphoricarpos,Lonicera symphoricarpos
Lonicera diversif�olia,Lonicera diversifolia
Lonicera fragruntissima,Lonicera fragrantissima
Lonicera selifera,Lonicera setifera
Loniera caerulea,Lonicera caerulea
Lonlcera caerulea,Lonicera caerulea
Lonlcera obovata,Lonicera obovata
Lontcera quinquelocularis,Lonicera quinquelocularis
Lonyipedia rosea,Longipedia rosea
Lookhartia elegans,Lockhartia elegans
Loousta viridissima,Locusta viridissima
Lopbocolea muricata,Lophocolea muricata
Lopbopilio palpinalis,Lophopilio palpinalis
Lopbopteryx cucullina,Lophopteryx cucullina
Lopezia pariculata,Lopezia paniculata
Lophanthera longi�olia,Lophanthera longifolia
Lopheiia pertusa,Lophelia pertusa
Lophiocharon campylacanlhus,Lophiocharon campylacanthus
Lophiodon buchsovillanum,Lophiodon buchsowillanum
Lophoceros fasciatus var. semifasciata,Lophoceros fasciatus semifasciatus
Lophocladiam trichoclados,Lophocladia trichoclados
Lophocolea heterophyla,Lophocolea heterophylla
Lophoides purpurascens,Lophoides pupurascens
Lopholatilus chamaeleouticeps,Lopholatilus chamaeleonticeps
Lophonocerus hirlicornis,Lophonocerus hirticornis
Lophornis helena,Lophornis helenae
Lophospermum atro-sanguineum,Lophospermum atrosanguineum
Lophozia ineisa,Lophozia incisa
Lophyrus simile,Lophyrus similis
Lopidca rolfsi,Lopidea rolfsi
Lopyrus palustris,Lepyrus palustris
Lora viridi,Loxa viridis
Loranihus longifolius,Loranthus longifolius
Loranthns exocarpi,Loranthus exocarpi
Loranthus alternalus,Loranthus alternatus
Loranthus laxijlorus,Loranthus laxiflorus
Loranthus pendula,Loranthus pendulus
Lorantkus scurrula,Loranthus scurrula
Loricaster viertli,Loricasier viertli
Loriculus stigmaius,Loriculus stigmatus
Loronella austriaca,Coronella austriaca
Lotipes lobatus,Lobipes lobatus
Lotus corniculat japonicus,Lotus corniculatus var. japonicus
Louicera halleana,Lonicera halleana
Lourea yespertilionis,Lourea vespertilionis
Lovenia histrix,Lovenia hystrix
Lowenslamia ampla,Lowenstamia ampla
Loxia fwscata,Loxia fuscata
Loxnndrus unistigma,Loxandrus unistigma
Loxopterygium sagotti,Loxopterygium sagotii
Loxoscaphe tbeciferum,Loxoscaphe theciferum
Loxoslege maclurae,Loxostege maclurae
Loxostege simllalis,Loxostege simplalis
Loxotrenia rosaceana,Loxotaenia rosaceana
Lozodonta africana,Loxodonta africana
Lpomopsis aggregata,Ipomopsis aggregata
Lrelia flava,Laelia flava
Lronurus condensatus,Leonurus condensatus
Lrperditia phaseolus,Leperditia phaseolus
Lrpus variabilis,Lepus variabilis
Lselaps decorata,Lelaps decorata
Lsetilia fiskeella,Laetilia fiskeella
Ltchen juniperinus,Lichen juniperinus
Ltnum grandiflorum,Linum grandiflorum
Ltolaemus islugensis,Liolaemus islugensis
Ltptospermum flavescens,Leptospermum flavescens
Ltrista colliveri,Lerista colliveri
Ltsimachia cuspidata,Lysimachia cuspidata
Ltstera cordata,Listera cordata
Lubbockim glacialis,Lubbockia glacialis
Lucanu�s cervus,Lucanus cervus
Lucifcr typus,Lucifer typus
Lucinea pentacme,Lucinaea pentacme
Lucioia cowleyi,Luciola cowleyi
Lucio�a italica,Luciola italica
Ludwiyia linearis,Ludwigia linearis
Ludwiyia suffruticosa,Ludwigia suffruticosa
Luearus imperiali,Luvarus imperialis
Luehiea divaricata,Luehea divaricata
Lufjanus microstomus,Lutjanus microstomus
Luftia lapidella,Luffia lapidella
Lugopus hyperboreus,Lagopus hyperboreus
Luirá canadensis,Lutra canadensis
Lumbricns rubellus,Lumbricus rubellus
Lumbriconerei�s cavifrons,Lumbriconereis cavifrons
Lumbricus terroslris,Lumbricus terreslris
Lumbrieus luteus,Lumbricus luteus
Lumbrinerls cruzensis,Lumbrineris cruzensis
Lumericus marinus,Lumbricus marinus
Lumhricaria spiralis,Lumbricaria spiralis
Lumpénus lampetri formis,Lumpenus lampetriformis
Lunatla groenlandica,Lunatia groenlandica
Lunulina munilifera,Lunulina monilifera
Lunulites punctata,Lunulites punctatus
Luperiua gueneei,Luperina gueneei
Lupinus arbutus,Lupinus arbustus
Lupinus nostratus,Lupinus rostratus
Lurinea mollis,Jurinea mollis
Lurjanus campechanus,Lutjanus campechanus
Lus majora,Mus major
Lusula alopecurus,Luzula alopecurus
Lusula nivea,Luzula nivea
Luteo fuscus,Buteo fuscus
Lutianus stearnsi,Lutjanus stearnsi
Lutiaous roseus,Lutianus roseus
Lutiaria decurtata,Lutraria decurtata
Lutra augustifrons,Lutra angustifrons
Lutraria sana,Lutraria sanna
Luzula campestris var. multiflorus,Luzula campestris multiflora
Luzula cnmpestris,Luzula campestris
Luzuta pilosa,Luzula pilosa
Luzvla crinita,Luzula crinita
Lu�xilus americanus,Luxilus americanus
Lvcaena exilis,Lycaena exilis
Lvcoperdon aestivum,Lycoperdon aestivum
Lvigerina pygmaea,Uvigerina pygmaea
Lxia grandiflora,Ixia grandiflora
Lxndsaya regularis,Lindsaya regularis
Lycaena kama,Lycaena tama
Lycaenesthes silvanus,Lycaenesthes sylvanus
Lycanges demissus,Lycauges demissus
Lycasle aromatica,Lycaste aromatica
Lycasle crinita,Lycaste crinita
Lycasna melissa,Lycaena melissa
Lyccena alenas,Lycaena alenas
Lyccena wosnesenskii,Lycaena wosnesenskii
Lyceena livia,Lycaena livia
Lychnis silvestre,Lychnis silvestris
Lychnjs fulgens,Lychnis fulgens
Lycium parish,Lycium parishii
Lycodcs variegatus,Lycodes variegatus
Lycoderes burmeisleri,Lycoderes burmeisteri
Lycodopsis faucidens,Lycodopsis paucidens
Lycoperdina punctirollis,Lycoperdina puncticollis
Lycoperdnn penicillatum,Lycoperdon penicillatum
Lycoperdon caclatum,Lycoperdon caelatum
Lycoperdon protens,Lycoperdon pratense
Lycoperdon tuberosum,Lycoperdon suberosum
Lycopodium compldnatum,Lycopodium complanatum
Lycopodium eoncinnum,Lycopodium concinnum
Lycopodtum haematodes,Lycopodium haematodes
Lycopus europaeus var. exaitatus,Lycopus europaeus exaltatus
Lycosa nagleri,Lycosa wagleri
Lyco�a pratensis,Lycosa pratensis
Lycsena speciosa,Lycaena speciosa
Lycsenesthes rufomarginata,Lycaenesthes rufomarginata
Lyctus contraclus,Lyctus contractus
Lyctus planicolus,Lyctus planicollis
Lyctus serie-kispidus,Lyctus serie-hispidus
Lycum chinense,Lycium chinense
Lycus sutnralis,Lycus suturalis
Lyeaenopsis celebica,Lycaenopsis celebica
Lyehnis macrocarpa,Lychnis macrocarpa
Lyeopodium phlegmaria,Lycopodium phlegmaria
Lyeosa indomita,Lycosa indomita
Lygacus ferrugatus,Lygaeus ferrugatus
Lygasus cingulatus,Lygaeus cingulatus
Lyga�us albostriatus,Lygaeus albostriatus
Lyga�us aulicus,Lygaeus aulicus
Lygceus puncticeps,Lygaeus puncticeps
Lygistorrhina sanctaccatharinae,Lygistorrhina sanctaecatharinae
Lygodryas variabilis,Lycodryas variabilis
Lygus adastus,Lygus adustus
Lyg�eus collaris,Lygaeus collaris
Lymaatria dispar,Lymantria dispar
Lymexjlon dermestoides,Lymexylon dermestoides
Lymnaa limatula,Lymnaea limatula
Lymnaeua stagnalis,Lymnaea stagnalis
Lymnea ovum,Lymnaea ovum
Lymnea rivalis,Lymnaea rivalis
Lymneea reflexa,Lymnaea reflexa
Lymnsea columella var. macrostoma,Lymnaea columella macrostoma
Lymnuea hemphilliana,Lymnaea hemphilliana
Lymnœa longiscata,Lymnaea longiscata
Lynceug guttatus,Lynceus guttatus
Lynchailurus colocolus,Lynchailurus colocolo
Lyngbia confervoides,Lyngbya confervoides
Lyngbia zonata,Lyngbya zonata
Lyngbya astuarii,Lyngbya aestuarii
Lynqbya vulgaris,Lyngbya vulgaris
Lynsbya thermalis,Lyngbya thermalis
Lyonothamnus asplcnifolius,Lyonothamnus asplenifolius
Lyonsia angustatum,Lyonsia angustata
Lyrionotus involucrata,Lysionotus involucrata
Lyropeclen corallinoides,Lyropecten corallinoides
Lyrridus tridentatus,Lyreidus tridentatus
Lysianassa sjpinicornis,Lysianassa spinicornis
Lysimachia punciata,Lysimachia punctata
Lysimachia tengyuhensis,Lysimachia tengyuehensis
Lysimachla terrestris,Lysimachia terrestris
Lysimaehia thyrsiflora,Lysimachia thyrsiflora
Lysiosquilla macutata,Lysiosquilla maculata
Lysiphlebus mya,Lysiphlebus myzi
Lysorophus triearinatus,Lysorophus tricarinatus
Lyssonycteris angolensis,Lissonycteris angolensis
Lystena elongata,Systena elongata
Lytacarpus racemiferus,Lytocarpus racemiferus
Lythfum hyssopifolia,Lythrum hyssopifolia
Lythrum fetiolatum,Lythrum petiolatum
Lythrum hgssopifolia,Lythrum hyssopifolia
Lythrum oirgatum,Lythrum virgatum
Lytia atrata,Lytta atrata
Lytorhynehus diadema,Lytorhynchus diadema
Lytta nutalli,Lytta nuttalli
Lyuceus exiguus,Lynceus exiguus
Lzula spicata,Luzula spicata
Lìoydìa serotina,Lloydia serotina
Lœmargus brevipinna,Loemargus brevipinnis
L�ates colonorum,Lates colonorum
L�ecidea azorica,Lecidea azorica
L�ithophaga ripleyana,Lithophaga ripleyana
L�oxia chloris,Loxia chloris
L�pus marinus,Lepus marinus
Maarharus cinctus,Maarbarus cinctus
Mabattia alata,Marattia alata
Mabuia qnadricarinata,Mabuia quadricarinata
Mabuia quinquetaeniata hildebrandii,Mabuia quinquetaeniata hildebrandti
Macaca faseicularis,Macaca fascicularis
Macaca mindora,Macaca mindorus
Macacbs arctoides,Macacus arctoides
Macacns inuus,Macacus inuus
Macacus cynamolgus,Macacus cynomolgus
Macacus nemestpinus,Macacus nemestrinus
Macalia paranensis,Macalla paranensis
Macaranga suhdentata,Macaranga subdentata
Macbilus longifolia,Machilus longifolia
Macfra ovalis,Mactra ovalis
Machaeracauthus sulcatus,Machaeracanthus sulcatus
Machaeranthcra coulteri,Machaeranthera coulteri
Machaeroptcrus pyrocephalus,Machaeropterus pyrocephalus
Machcerirhynchus nigripectus saturatus,Machaerirhynchus nigripectus saturatus
Macheira serriventris,Machaira serriventris
Macira howchiniana,Mactra howchiniana
Macleayia cordata,Macleaya cordata
Maclnrea crenulata,Maclurea crenulata
Maclra subtruncata,Mactra subtruncata
Macoma ballica,Macoma baltica
Macrat�ia tucumanensis,Macratria tucumanensis
Macrauchenia patachonicha,Macrauchenia patachonica
Macro thrix spinosa,Macrothrix spinosa
Macrobiofus islandicus,Macrobiotus islandicus
Macrobrachium carinus,Macrobrachium carcinus
Macrocceloma eutheca,Macrocoeloma eutheca
Macrocenlrus cerasivoranae,Macrocentrus cerasivoranae
Macrocercns hyacinthinus,Macrocercus hyacinthinus
Macrocheies clavisetosus,Macrocheles clavisetosus
Macrochilus immanis,Macrocheilus immanis
Macrodactylus subspincsus,Macrodactylus subspinosus
Macroftylis lanceolata,Macrostylis lanceolata
Macroglossa stellataium,Macroglossa stellatarum
Macroglossa stellaterum,Macroglossa stellatarum
Macroglossu fuciformis,Macroglossa fuciformis
Macroglossu zena,Macroglossum zena
Macroglossum pyrrkosticta,Macroglossum pyrrhosticta
Macroglossws minimus sobrinus,Macroglossus minimus subsp. sobrinus
Macrohiotus montanus,Macrobiotus montanus
Macrolampis agonus,Macrolampis agona
Macrolophns nubilus,Macrolophus nubilus
Macroma coynata,Macroma cognata
Macromia anndlata,Macromia annulata
Macromia ta�niolata,Macromia taeniolata
Macromitrium mucronifdlium,Macromitrium mucronifolium
Macrom�itrium urceolatum,Macromitrium urceolatum
Macronemurus appendicuïatus,Macronemurus appendiculatus
Macronoia nigrocoerulea,Macronota nigrocoerulea
Macrontx croceus,Macronyx croceus
Macropanesthia rhinoeerus,Macropanesthia rhinocerus
Macropbya militaris,Macrophya militaris
Macropexa nudae,Macropeza nuda
Macrophthalmin chilensis,Macrophthalmia chilensis
Macrophya zabriskei,Macrophya zabriskiei
Macrophyta nigra,Macrophya nigra
Macroplachs raeticus,Macroplacus raeticus
Macropms giganteus,Macropus giganteus
Macropns melanops,Macropus melanops
Macrops pcrcellus,Macrops porcellus
Macroptervx coronatus,Macropteryx coronatus
Macropteryx curonatus,Macropteryx coronatus
Macropus parri,Macropus parryi
Macropygia nigrlrostris,Macropygia nigrirostris
Macrorhamjphus griseus,Macrorhamphus griseus
Macrosiphua avenae,Macrosiphum avenae
Macrosiphum ciiricola,Macrosiphum citricola
Macrosiphum erigeronesis,Macrosiphum erigeronensis
Macrosiphum illinoisense,Macrosiphum illinoisensis
Macrosiphum roae,Macrosiphum rosae
Macrosporium sarsinula,Macrosporium sarcinula
Macrostoma histrix,Macrostoma hystrix
Macrostylopkora fimbriata,Macrostylophora fimbriata
Macrosyphum euphorbiae,Macrosiphum euphorbiae
Macroteleia plalensis,Macroteleia platensis
Macrothelyptris torresiana,Macrothelypteris torresiana
Macrotylus nigrieornis,Macrotylus nigricornis
Macrotylus torquatlis,Macrotylus torquatus
Macrouoctua onusta,Macronoctua onusta
Macroventrus ancylivorus,Macrocentrus ancylivorus
Macro�sporium caudatum,Macrosporium caudatum
Macrurus eequalis,Macrurus aequalis
Mactra pipcrata,Mactra piperata
Mactra spengieri,Mactra spengleri
Mactva solida var. elliptica,Mactra solida elliptica
Madaraglossa angustifolia,Madaroglossa angustifolia
Madrtpora limbata,Madrepora limbata
Madtra tumida,Mactra tumida
Maeea bruzelii,Maera bruzelii
Maeleania glabra,Macleania glabra
Maeleania speciosissima,Macleania speciosissima
Maerolobium obanense,Macrolobium obanense
Maerozamia plumosa,Macrozamia plumosa
Mafnia cuneifolia,Rafnia cuneifolia
Magachile argentata,Megachile argentata
Magalonyx jeffersonii,Megalonyx jeffersonii
Magdalinus barhicornis,Magdalinus barbicornis
Magdalis barbitus,Magdalis barbita
Magdalis carbonarius,Magdalis carbonaria
Magelona saoculata,Magelona sacculata
Magil belanak,Mugil belanak
Magnolia macrophyla,Magnolia macrophylla
Magnölia speciosa,Magnolia speciosa
Maha inconstans,Maba inconstans
Maianthemum purpurem,Maianthemum purpureum
Maianthernum bifolium,Maianthenum bifolium
Mairania àl�pina,Mairania alpina
Mais barbata,Nais barbata
Maja verracosa,Maja verrucosa
Majnnthemum bifolium,Majanthemum bifolium
Makgarita aspecta,Margarita aspecta
Makginella octoplicata,Marginella octoplicata
Makia scabrella,Mukia scabrella
Malacbius thoracicus,Malachius thoracicus
Malachinus bipustulatus,Malachius bipustulatus
Malachius baltealus,Malachius balteatus
Malachius margiaicollis,Malachius marginicollis
Malachjum aquaticum,Malachium aquaticum
Malacopierus pavidus,Malacopterus pavidus
Malacoptila rifa,Malacoptila rufa
Malacopus céllulåris,Malacopus cellularis
Malacosaccus peduneulatus,Malacosaccus pedunculatus
Maladera holoscricea,Maladera holosericea
Malaxias domingensis,Malaxis domingensis
Maliattha marginalia,Maliattha marginalis
Malihopsis luteus,Malthopsis luteus
Malimbus malimbica,Malimbus malimbicus
Malimhus rufovelatus,Malimbus rufovelatus
Malletia oblusa,Malletia obtusa
